RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,"Adrian Peterson, Min RB  P",0/0,0,0,0,298,1365,13,40,289,2,250
2,"Jamaal Charles, KC RB",0/0,0,0,0,247,1260,7,64,587,4,244
3,"LeSean McCoy, Phi RB",0/0,0,0,0,294,1402,9,42,342,3,242
4,"Matt Forte, Chi RB",0/0,0,0,0,270,1227,8,70,576,2,235
5,"Marshawn Lynch, Sea RB",0/0,0,0,0,303,1285,12,33,279,1,229
6,"Eddie Lacy, GB RB",0/0,0,0,0,288,1220,10,42,301,1,214
7,"Calvin Johnson, Det WR",0/0,0,0,0,0,0,0,94,1664,12,236
8,"Jimmy Graham, NO TE",0/0,0,0,0,0,0,0,84,1115,13,189
9,"Peyton Manning, Den QB",435/640,5210,48,12,32,-14,0,0,0,0,368
10,"Demaryius Thomas, Den WR",0/0,0,0,0,0,0,0,93,1400,13,216
11,"DeMarco Murray, Dal RB",0/0,0,0,0,206,989,8,56,425,1,190
12,"Doug Martin, TB RB",0/0,0,0,0,296,1192,8,43,316,1,200
13,"Aaron Rodgers, GB QB",348/514,4378,39,7,47,225,2,0,0,0,347
14,"Dez Bryant, Dal WR",0/0,0,0,0,1,8,0,100,1327,12,200
15,"Le'Veon Bell, Pit RB",0/0,0,0,0,281,1073,8,52,358,1,192
16,"Arian Foster, Hou RB",0/0,0,0,0,220,1034,8,37,307,1,183
17,"Drew Brees, NO QB",435/626,4880,39,15,27,64,1,0,0,0,329
18,"Montee Ball, Den RB",0/0,0,0,0,217,943,9,54,333,1,179
19,"A.J. Green, Cin WR",0/0,0,0,0,0,0,0,90,1336,11,199
20,"Giovani Bernard, Cin RB",0/0,0,0,0,210,927,3,52,478,4,177
21,"Reggie Bush, Det RB",0/0,0,0,0,195,904,5,50,456,3,175
22,"Matthew Stafford, Det QB",397/649,4471,32,18,34,84,2,0,0,0,284
23,"Zac Stacy, StL RB",0/0,0,0,0,286,1187,9,21,127,0,182
24,"Brandon Marshall, Chi WR",0/0,0,0,0,0,0,0,95,1230,12,195
25,"Cam Newton, Car QB",276/462,3365,20,15,118,637,8,0,0,0,289
26,"Julio Jones, Atl WR  P",0/0,0,0,0,1,19,0,97,1387,9,191
27,"Antonio Brown, Pit WR",0/0,0,0,0,8,47,0,109,1435,7,187
28,"Jordy Nelson, GB WR",0/0,0,0,0,0,0,0,82,1286,10,188
